"Cron jobs","Tâches cron"
"Cron jobs report","Rapport des tâches cron"
"By default filter by jobs","Par défaut filtrer sur les tâches"
"Number of jobs per page","Nombre de tâches par page"
"Use text filter","Utiliser un filtre texte"
"Please reset filter after change this option","Réinitialiser le filtre après le changement de cette option"
"Email reports","Rapports par email"
"Emails separated by space","Adresses séparées par un espace"
"Cron jobs / Tools / Magento Admin","Tâches cron / Outils / Admin Magento"
"Other options available in <a href=""%s"">cron jobs configuration</a>.","Autres options disponibles dans la <a href=""%s"">configuration des tâches cron</a>."
"New cron job","Nouvelle tâche cron"
"Job","Tâche"
"Scheduled into","Programmée dans"
"Scheduled At","Programmée le"
"Executed At","Exécutée le"
"Finished At","Terminée le"
"Duration","Durée"
"Pending","En attente"
"Running","En cours"
"Success","Terminée"
"Missed","Manquée"
"Show","Voir"
"Restart task","Relancer la tâche"
"Cron job number %d","Tâche cron numéro %d"
"Created At: %s","Créée le : %s"
"Scheduled At: %s","Programmée le : %s"
"Executed At: %s","Exécutée le : %s"
"Finished At: %s","Terminée le : %s"
"Duration: %s","Durée : %s"
"Status: %s (%s)","État : %s (%s)"
"Code: %s","Code : %s"
"No message.","Pas de message."
"monthly","menusel"
"weekly","hebdomadaire"
"daily","quotidien"
"Can not send email report to %s.","Impossible d'envoyer le rapport par email à %s."
"Recent jobs","Tâches récentes"
"All jobs","Toutes les tâches"
"Pending (pending)","En attente (pending)"
"Running (running)","En cours (running)"
"Success (success)","Terminée (success)"
"Missed (missed)","Manquée (missed)"
"Error (error)","En erreur (error)"
"The <em>job_code</em> field is a required value.","Le champ <em>job_code</em> est un champ obligatoire."
"Job number %d has been successfully scheduled.","La tâche numéro %d a bien été programmée."
"The <em>job_id</em> field is a required value.","Le champ <em>job_id</em> est un champ obligatoire."
"Job number %d has been successfully deleted.","La tâche numéro %d a bien été supprimée."
